ID;Date;Title;French Title;URL (page or PDF);French URL;Spanish URL;Summary (optional);French Summary;Spanish Summary;Attachments URL (optional, if in addition to main text);;;;;;;;;;;;;;;
81;30.05.2012;Serengeti Photo Exhibition Opens at Museum Koenig;;http://old.cms.int/news/PRESS/nwPR2012/05_may/nw_300512_serengeti.htm;;;;;;;;;;;;;;;;;;;;;
82;1.06.2012;Republic of Zimbabwe Accedes to the Convention on Migratory Species;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_010612_accession_zimbabwe.htm;;;;;;;;;;;;;;;;;;;;;
83;5.06.2012;World Environment Day: 5 June 2012!;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_050612_world_env_day.htm;;;;;;;;;;;;;;;;;;;;;
84;19.06.2012;Farewell to Sergey Kurdjukov;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_190612_kurdjukov.htm;;;;;;;;;;;;;;;;;;;;;
85;20.06.2012;Tribute to Kholmumin Safarov;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_200612_safarov.htm;;;;;;;;;;;;;;;;;;;;;
86;20.06.2012;CMS and UNEP Strengthen MEA Coordination;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_200612_unep_mea_fps.htm;;;;;;;;;;;;;;;;;;;;;
87;27.06.2012;The UK Takes Steps to Protect Endangered Sharks;;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_270612_uk_sharks.htm;;;;;;;;;;;;;;;;;;;;;
88;28.06.2012;World Migratory Bird Day 2012 Breaks All Records - Most Successful Global Campaign Yet!;La Journée Mondiale des Oiseaux Migrateurs 2012 Bat Tous les Records;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_270612_wmbd_e.htm;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_270612_wmbd_f.htm;http://old.cms.int/news/PRESS/nwPR2012/06_jun/nw_270612_wmbd_s.htm;;;;;;;;;;;;;;;;;;;
89;11.07.2012;CMS Family Online Reporting System Sailing in Ramsar Waters!;;http://old.cms.int/news/PRESS/nwPR2012/07_jul/nw_10712_cms_ors_ramsar_cop.htm;;;;;;;;;;;;;;;;;;;;;
90;27.07.2012;Publication on Global Interflyway Network launched at Ramsar COP;;http://old.cms.int/news/PRESS/nwPR2012/07_jul/nw_27712_flyway_initiatives.htm;;;;;;;;;;;;;;;;;;;;;
91;3.08.2012;New Edition of the Year of the Bat Newsletter;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_030812_yearofbat_news5.htm;;;;;;;;;;;;;;;;;;;;;
92;10.08.2012;Analyzing Gaps and Options for Enhancing Argali Conservation in Central Asia;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_100812_argali.htm;;;;;;;;;;;;;;;;;;;;;
93;10.08.2012;Call for Comments on the CMS Strategic Plan Strategic Plan;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_100812_strategic_plan.htm;;;;;;;;;;;;;;;;;;;;;
94;15.08.2012;The Oceans Compact – Healthy Oceans for Prosperity;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_150812_ocean_compact.htm;;;;;;;;;;;;;;;;;;;;;
95;16.08.2012;CMS Ambassador Stanley Johnson Presents New Book: Where the Wild Things Were;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_160812_wherethewildthings.htm;;;;;;;;;;;;;;;;;;;;;
96;22.08.2012;In Memoriam – In Memory of Dr. Martin Schneider-Jacoby;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_220812_schneider_jakoby.htm;;;;;;;;;;;;;;;;;;;;;
97;23.08.2012;Dr Victor Pulido, CMS Scientific Councillor of Peru, Receives Pablo Canevari Award 2012;;http://old.cms.int/news/PRESS/nwPR2012/08_aug/nw_230812_canevari_award.htm;;;;;;;;;;;;;;;;;;;;;
98;2.09.2012;Laying of the Foundation Stone of Museum Koenig 100 Years Ago;;http://old.cms.int/news/PRESS/nwPR2012/09_sep/nw_020912_museum_koenig_anniversary.html;;;;;;;;;;;;;;;;;;;;;
99;7.09.2012;Accra Workshop Clears the Way for Landbirds Action Plan;;http://old.cms.int/news/PRESS/nwPR2012/09_sep/nw_070912_landbirds_ghana.html;;;;;;;;;;;;;;;;;;;;;
100;10.09.2012;Flying with Cranes – President Putin Takes Part in the “Flight of Hope” to Conserve the Endangered Siberian Crane;;http://old.cms.int/news/PRESS/nwPR2012/09_sep/nw_100912_flying_with_cranes.html;;;;;;;;;;;;;;;;;;;;;
101;17.09.2012;CMS Contributes to Analysis of Biodiversity in the Drylands;;http://old.cms.int/news/PRESS/nwPR2012/09_sep/nw_170912_drylands.html;;;;;;;;;;;;;;;;;;;;;
102;27.09.2012;United States of America sign Pacific Islands Cetaceans MoU;;http://old.cms.int/news/PRESS/nwPR2012/09_sep/nw_270912_pic_signing.html;;;;;;;;;;;;;;;;;;;;;
103;11.10.2012;A Bird’s Eye View on Flyways – Second Edition;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_111012_birdseye_view2.html;;;;;;;;;;;;;;;;;;;;;
104;15.10.2012;CMS COP10 Proceedings Available Online;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_151012_cop10_proceedings.html;;;;;;;;;;;;;;;;;;;;;
105;18.10.2012;The Truth about Elephants and Bees;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_181012_lucyking_bees_elephants.html;;;;;;;;;;;;;;;;;;;;;
106;22.10.2012;Bonn celebrates the signing of the UN Charter;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_221012_un_day.html;;;;;;;;;;;;;;;;;;;;;
107;23.10.2012;CMS Ambassador Kuki Gallmann Awarded International Masi Grosso D’Oro Veneziano Prize;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_231012_kuki_gallmann.html;;;;;;;;;;;;;;;;;;;;;
108;25.10.2012;Transboundary Conservation of Argali Gains Further Momentum;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_251012_argali_consv_gains_momentum.html;;;;;;;;;;;;;;;;;;;;;
109;29.10.2012;CMS Participates in the Seventh Meeting of the Contracting Parties (COP) to the Protocol Concerning Specially Protected Areas and Wildlife in the Wider Caribbean Region;;http://old.cms.int/news/PRESS/nwPR2012/10_oct/nw_291012_spaw.html;;;;;;;;;;;;;;;;;;;;;
